ETA,A_1952,A_1953,A_1954,A_1955,A_1956,A_1957,A_1958,A_1959,A_1960,A_1961,A_1962,A_1963,A_1964,A_1965,A_1966,A_1967,A_1968,A_1969,A_1970,A_1971,A_1972,A_1973,A_1974,A_1975,A_1976,A_1977,A_1978,A_1979,A_1980,A_1981,A_1982,A_1983,A_1984,A_1985,A_1986,A_1987,A_1988,A_1989,A_1990,A_1991,A_1992,A_1993,A_1994,A_1995,A_1996,A_1997,A_1998,A_1999,A_2000,A_2001,A_2002,A_2003,A_2004,A_2005,A_2006,A_2007,A_2008,A_2009,A_2010,A_2011,A_2012,A_2013,A_2014,A_2015,A_2016,A_2017,A_2018,A_2019,A_2020,A_2021,A_2022,A_2023,A_2024,A_2025,A_2026,A_2027,A_2028,A_2029,A_2030,A_2031,A_2032,A_2033,A_2034,A_2035,A_2036,A_2037,A_2038,A_2039,A_2040,A_2041,A_2042,A_2043,A_2044,A_2045,A_2046,A_2047,A_2048,A_2049,A_2050,A_2051,A_2052,A_2053,A_2054,A_2055,A_2056,A_2057,A_2058,A_2059,A_2060,A_2061,A_2062,A_2063,A_2064,A_2065
0,47512,48131,48341,48252,48425,50505,51511,52298,55576,57292,59188,63039,68037,73389,73398,72759,69333,69090,69323,67953,66756,67360,66411,66420,63159,57364,53641,50232,46433,44386,42507,42790,41619,39835,39332,37490,37469,39097,38349,39335,36252,39761,38910,38558,38723,40308,41242,41493,42059,43433,42750,44353,44837,46918,47413,48603,49142,49850,49929,49074,42587,44193,44901,46782,47377,48570,42900,41257,41166,41557,42068,42246,42194,42199,42282,42435,42619,42891,43153,43519,43856,44244,44609,45004,45354,45716,46011,46271,46488,46675,46776,46835,46864,46768,46646,46475,46201,45935,45690,45424,45149,44967,44827,44706,44634,44653,44629,44660,44757,44857,44986,45194,45335,45531
1,49631,46773,47700,47922,48043,48339,50252,51497,52638,55758,56918,59358,62881,67778,73188,73233,72904,69402,69329,69581,68054,66786,67218,66236,66119,62923,57153,53503,50222,46331,44307,42535,42640,41596,39843,39323,37546,37594,39085,38468,37112,36820,39733,38942,38619,38945,40335,41037,41456,42215,43261,43083,44568,45305,47032,47593,48681,49107,49811,49752,43389,43191,44838,45867,47020,47910,44288,43385,41480,41391,41785,42297,42473,42420,42424,42505,42655,42836,43105,43361,43722,44053,44435,44794,45183,45529,45884,46175,46429,46640,46822,46917,46971,46995,46893,46770,46597,46321,46053,45807,45540,45263,45081,44939,44816,44742,44759,44732,44761,44855,44952,45078,45282,45421
2,50861,49702,47194,47847,47971,48159,48566,50655,52056,53265,55751,57788,59934,63061,67910,73366,73339,73185,69773,69611,70017,68044,66963,67194,66179,65914,62762,57007,53418,50236,46259,44235,42496,42507,41514,39791,39283,37616,37658,39090,36953,37435,36998,39747,39050,38800,39099,40458,40948,41473,42364,43661,43590,44965,45812,47195,47776,48918,49069,49811,42178,43816,44218,45661,46542,47401,45518,44323,43580,41680,41594,41992,42501,42675,42622,42623,42702,42850,43029,43293,43545,43900,44226,44602,44956,45340,45680,46030,46315,46565,46771,46948,47038,47087,47105,47002,46877,46703,46426,46157,45910,45641,45364,45180,45036,44911,44836,44850,44822,44848,44939,45035,45158,45360
3,54011,51098,50081,47400,47972,48295,48453,49137,51437,52811,53265,56183,58743,60375,63376,68062,73535,73369,73460,70085,69989,70079,68048,67156,67182,66127,65719,62611,56863,53344,50254,46124,44099,42590,42457,41408,39770,39297,37680,37703,37470,37251,37632,37280,39864,39247,38898,39301,40566,40898,41530,42701,44109,44111,45346,46178,47368,48137,49140,49125,41610,42585,44623,44971,45797,46841,47283,45569,44504,43759,41866,41784,42180,42688,42860,42805,42805,42883,43029,43203,43463,43710,44061,44381,44752,45101,45480,45815,46160,46441,46685,46887,47059,47144,47188,47205,47101,46975,46799,46522,46252,46004,45734,45456,45270,45125,44999,44921,44934,44903,44927,45016,45109,45231
4,52993,54217,51474,50549,47589,48435,48487,48920,49660,51996,52924,53753,56643,59555,61021,63733,68259,73738,73515,73799,70533,70042,70158,68069,67355,67186,66080,65534,62464,56728,53261,50082,45900,44040,42636,42395,41413,39788,39298,37702,36234,37782,37387,37830,37574,40016,39315,39030,39472,40680,40859,41852,43072,44759,44581,45498,46474,47596,48228,49276,41105,42068,43391,45523,45478,46145,48657,47305,45737,44678,43933,42047,41965,42360,42865,43035,42980,42978,43054,43197,43368,43624,43866,44211,44527,44894,45238,45612,45942,46283,46559,46798,46995,47162,47243,47286,47301,47196,47069,46893,46615,46344,46095,45825,45545,45358,45212,45083,45004,45015,44982,45004,45091,45182
5,56515,53309,54582,51835,50830,48045,59322,48947,49400,50324,52121,53279,54165,57023,60476,61470,63994,68477,73878,73581,74213,70636,70096,70246,68081,67554,67190,66033,65348,62325,56594,53127,49896,45788,44034,42703,42413,41387,39813,39329,36318,36414,37939,37525,38084,38149,40129,39484,39162,39655,40783,41218,42257,43478,45259,45049,45763,46724,47636,48175,40812,41530,42779,43859,46005,45929,50444,48628,47470,45902,44851,44107,42223,42141,42534,43037,43206,43149,43147,43220,43359,43526,43778,44015,44356,44668,45030,45369,45739,46065,46401,46672,46907,47099,47262,47341,47383,47397,47291,47164,46987,46708,46436,46187,45915,45634,45446,45298,45168,45087,45096,45062,45082,45167
6,41986,56790,53921,54758,52123,51207,44135,49079,49330,49973,50366,52604,53671,54550,57434,61398,62096,64416,68704,73966,73803,74295,70741,70162,70338,68110,67753,67203,65993,65155,62155,56399,52985,49786,45688,44007,42842,42430,41410,39809,38093,36662,36529,38098,37761,38585,38620,40261,39626,39278,39826,41101,41601,42871,43844,45575,45487,45997,46837,47684,39889,41269,42324,43510,44378,46338,51201,50404,48790,47637,46072,45027,44280,42399,42316,42708,43208,43375,43318,43313,43383,43519,43682,43929,44163,44500,44807,45164,45499,45865,46186,46517,46784,47015,47202,47364,47442,47483,47497,47390,47262,47084,46804,46532,46282,46009,45727,45536,45387,45256,45173,45181,45144,45164
7,45632,42320,57505,54219,55135,52454,48691,48769,49735,49758,49967,50873,53005,54080,54975,57820,62295,62660,64742,69030,74264,73943,74373,70864,70241,70425,68132,67950,67219,65949,64976,61985,56201,52951,49757,45625,43967,42967,42476,41461,38688,38322,36785,36671,38293,38129,39060,39206,40440,39750,39431,40110,41388,42141,43426,44112,45950,45921,46118,46979,39633,40304,41922,43009,44116,44716,51018,51179,50566,48957,47810,46248,45205,44456,42577,42493,42883,43381,43547,43488,43479,43546,43679,43838,44081,44311,44643,44946,45299,45630,45991,46308,46635,46898,47124,47310,47471,47548,47588,47601,47494,47365,47187,46906,46633,46381,46108,45824,45633,45482,45349,45265,45270,45233
8,46687,45929,42668,57881,54630,55539,49487,52180,49366,50341,49939,50645,51418,53532,54483,55420,58223,63274,63310,64987,69211,74422,74080,74463,70984,70313,70509,68152,68152,67228,65902,64862,61793,56044,52907,49710,45611,44033,43096,42517,40434,38897,38422,36922,36860,38685,38495,39551,39752,40572,39853,39753,40443,41817,42685,43958,44491,46322,46226,46230,40043,40101,40930,42472,43584,44603,50355,50997,51346,50736,49133,47992,46428,45387,44636,42758,42673,43062,43558,43721,43659,43648,43712,43840,43996,44236,44461,44790,45088,45438,45764,46121,46433,46756,47014,47239,47425,47584,47661,47700,47712,47604,47475,47296,47015,46740,46487,46212,45927,45735,45582,45448,45363,45367
9,48770,46991,46565,42955,58270,55135,55872,53256,52854,49964,50269,50518,51204,51939,54028,54928,55947,58597,64171,63806,65408,69407,74578,74220,74558,71105,70383,70606,68182,68350,67225,65827,64769,61637,55904,52904,49699,45615,44112,43195,41643,40671,39017,38545,37107,37165,39038,38906,40022,40292,40698,40199,40120,40994,42380,43177,44380,44965,46741,46495,40882,40519,40762,41468,42996,44018,50647,50382,51174,51523,50917,49319,48180,46615,45575,44822,42945,42859,43246,43739,43898,43834,43820,43880,44006,44158,44394,44615,44940,45234,45579,45901,46254,46562,46881,47138,47362,47547,47705,47781,47819,47831,47723,47592,47412,47130,46855,46600,46324,46038,45844,45691,45555,45468
10,51348,49187,47571,47075,43289,58821,55595,56267,54021,53572,50054,50945,51024,51700,52308,54364,55365,56264,58976,65119,64461,65671,69606,74759,74369,74656,71234,70462,70703,68213,68542,67188,65652,64626,61580,55857,52932,49731,45612,44175,42402,41903,40788,39133,38723,37464,37487,39397,39304,40469,40780,41015,40586,40758,41469,42828,43628,44868,45311,47098,40593,41315,41162,41373,41941,43410,49384,50625,50568,51360,51712,51108,49513,48375,46808,45769,45013,43137,43050,43434,43924,44081,44014,43996,44053,44175,44323,44556,44774,45094,45385,45725,46043,46392,46696,47013,47269,47492,47676,47834,47909,47947,47958,47849,47717,47536,47253,46976,46721,46444,46156,45961,45806,45669
11,57267,51708,49945,48024,47539,43679,59312,56237,56914,54626,53704,50653,51503,51620,52323,52790,54942,55842,56745,59396,66054,64756,65937,69804,74936,74509,74759,71352,70536,70808,68240,68445,67091,65565,64568,61501,55835,52938,49776,45655,43518,42613,42012,40897,39355,39018,37806,37819,39813,39677,40931,41003,41376,41082,41293,41789,43206,44067,45257,45593,40783,41030,41911,41741,41876,42244,49031,49427,50821,50766,51561,51913,51310,49715,48578,47009,45972,45213,43337,43249,43630,44116,44269,44199,44179,44233,44351,44496,44724,44938,45255,45541,45878,46192,46536,46839,47155,47410,47633,47816,47973,48047,48085,48095,47984,47852,47670,47385,47107,46851,46572,46284,46087,45931
12,56575,57658,52509,50371,48421,48136,44062,60030,57030,57585,54687,54811,51321,51957,52187,52883,53296,55438,56211,57103,59894,65995,65043,66197,70007,75097,74658,74860,71471,70612,70899,68171,68324,67017,65515,64497,61465,55846,52969,49805,45124,43716,42701,42175,41062,39663,39329,38124,38143,40207,39997,41045,41194,41843,41576,41712,42151,43655,44539,45598,40001,41199,41593,42459,42283,42269,48432,49060,49636,51029,50979,51775,52125,51521,49927,48790,47220,46183,45422,43546,43455,43833,44315,44465,44392,44368,44419,44534,44675,44900,45110,45422,45705,46037,46347,46690,46992,47307,47561,47783,47965,48122,48196,48232,48241,48129,47996,47812,47527,47248,46990,46710,46420,46223
13,56184,56970,58583,52981,50901,48915,48682,44599,60805,57789,57569,55638,55938,51851,52644,52841,53445,53801,55785,56571,57674,60361,65946,65339,66458,70200,75267,74795,74954,71596,70681,70830,68128,68264,67005,65460,64516,61544,55879,53015,49366,45335,43807,42830,42363,41374,39992,39673,38501,38443,40544,40132,41226,41636,42392,41955,42136,42627,44074,44952,40698,40391,41691,42116,42964,42638,47683,48465,49285,49862,51255,51208,52002,52350,51745,50152,49015,47442,46406,45641,43765,43671,44046,44524,44670,44595,44568,44615,44726,44864,45085,45291,45600,45878,46206,46514,46856,47157,47472,47725,47946,48128,48283,48357,48392,48399,48287,48152,47967,47681,47400,47142,46860,46570
14,52120,56677,57782,59225,53481,51462,49520,49444,45245,61722,57907,58967,56512,56971,52471,53169,53406,53957,54286,56257,57117,58140,60822,65887,65624,66714,70395,75421,74936,75040,71703,70622,70719,68109,68256,66979,65468,64479,61568,55908,52750,49546,45459,43966,43038,42653,41669,40325,39989,38897,38744,40717,40291,41577,42096,42829,42380,42586,43103,44463,39126,41140,40922,42182,42704,43475,48118,47791,48707,49529,50107,51501,51453,52245,52590,51984,50391,49254,47679,46642,45874,43997,43900,44271,44746,44889,44810,44780,44823,44931,45065,45282,45484,45788,46062,46389,46696,47037,47337,47651,47904,48124,48305,48459,48531,48565,48572,48457,48321,48136,47848,47567,47307,47025
15,49238,52554,57506,58329,59676,54064,51959,50082,50338,45869,61759,58944,60442,57403,58080,53081,53661,53863,54535,54824,56849,57681,58592,61266,65830,65894,66963,70585,75571,75068,75118,71636,70532,70696,68079,68294,67019,65507,64555,61647,55888,52893,49626,45603,44128,43296,42988,42032,40674,40318,39199,38897,40935,40651,42012,42442,43177,42865,43087,43528,39167,39565,41684,41522,42811,43113,48747,48217,48057,48975,49800,50379,51768,51720,52510,52851,52243,50651,49514,47936,46899,46126,44248,44148,44515,44986,45125,45043,45009,45049,45153,45283,45495,45693,45993,46265,46591,46897,47237,47537,47850,48102,48321,48501,48654,48725,48757,48762,48647,48510,48323,48034,47752,47490
16,52615,49746,53498,58120,58742,60537,54814,52822,50858,51226,45911,62846,59905,61743,58192,59128,53678,54267,54358,55089,55344,57431,58226,59030,61709,65739,66157,67193,70748,75704,75185,75090,71622,70466,70659,68114,68424,67124,65613,64688,61854,56052,52965,49717,45764,44459,43597,43369,42394,41029,40609,39311,39069,41410,41143,42321,42703,43704,43445,43558,40640,39522,40210,42478,42188,43244,47354,48889,48516,48359,49279,50106,50682,52067,52018,52804,53142,52532,50940,49802,48222,47183,46406,44525,44423,44786,45252,45387,45302,45265,45300,45400,45525,45733,45926,46225,46496,46821,47126,47465,47763,48075,48327,48545,48723,48875,48944,48975,48979,48863,48724,48536,48245,47962
17,51368,53053,50691,54066,58490,59370,61146,55639,53680,51730,51260,46844,63789,60854,62964,59124,60175,54289,54812,54959,55730,55926,58000,58757,59471,62134,65657,66410,67400,70892,75805,75159,75014,71561,70477,70690,68198,68603,67274,65698,65013,61975,56145,53074,49872,46072,44817,43971,43719,42738,41329,40741,39400,39632,41989,41591,42724,43219,44235,43928,41443,41067,40136,40955,43180,42757,47413,47595,49233,48862,48708,49630,50455,51027,52407,52357,53139,53473,52862,51268,50130,48545,47505,46723,44841,44734,45093,45555,45685,45596,45554,45585,45680,45800,46003,46195,46492,46762,47086,47390,47728,48025,48337,48586,48803,48979,49130,49197,49227,49230,49111,48972,48782,48490
18,51718,51914,54028,51338,54642,59164,60019,62017,56589,54579,51816,52019,47554,64777,61918,64409,59875,61222,54753,55393,55621,56330,56514,58578,59301,59904,62546,65558,66646,67613,71066,75849,75119,75014,71623,70545,70811,68398,68860,67467,66158,65152,62035,56295,53226,50128,46396,45184,44387,44138,43021,41567,41022,40123,40406,42822,42202,43479,43957,44986,43149,41963,41800,41165,41922,44070,47060,47977,48000,49640,49271,49121,50040,50862,51429,52803,52750,53528,53858,53243,51649,50508,48919,47876,47089,45206,45095,45449,45905,46030,45936,45889,45915,46005,46119,46321,46511,46806,47075,47397,47700,48037,48334,48643,48891,49105,49281,49429,49495,49523,49523,49404,49262,49071
19,52793,52145,53018,54648,52884,55387,59894,60722,63135,57603,54664,52480,52803,48516,65826,62755,65717,60830,62186,55384,55978,56164,56923,57097,59116,59840,60347,62967,65456,66884,67825,71310,76058,75242,75154,71748,70710,71249,68673,69203,68126,66373,65307,62161,56458,53530,50400,46764,45643,44878,44525,43071,41944,41495,40581,40916,43650,43175,44323,44783,44518,43516,42956,42665,41865,42584,47112,48158,48461,48486,50127,49761,49607,50523,51341,51902,53269,53213,53986,54310,53691,52095,50952,49357,48312,47519,45632,45517,45865,46314,46434,46334,46281,46301,46384,46497,46697,46885,47179,47447,47768,48069,48405,48699,49006,49251,49464,49637,49783,49848,49873,49872,49751,49607
20,53901,53295,53143,53572,55161,53663,56142,60704,61747,64167,57714,55431,53262,53584,49421,66776,63768,67030,61593,63281,56075,56537,56726,57537,57686,59691,60366,60778,63396,65361,67163,68338,71822,76509,75746,75554,72259,71243,71623,69216,70197,68541,66647,65535,62461,56966,53966,50861,47366,46258,45355,44505,43557,42537,41718,40851,41816,44480,43996,45024,45161,44885,44611,43975,43177,42369,46415,47935,48737,49043,49069,50712,50342,50184,51095,51908,52461,53819,53760,54527,54843,54219,52621,51474,49872,48825,48023,46133,46012,46354,46795,46907,46801,46741,46754,46836,46946,47144,47331,47623,47889,48208,48508,48841,49132,49436,49679,49889,50060,50204,50265,50289,50285,50161
21,56085,54319,54097,53668,54174,55992,54364,57079,61816,62749,64263,58421,56069,54061,54442,50166,67757,64789,68377,62464,64360,56666,57119,57300,58138,58260,60248,60904,61200,63806,65286,67737,68859,72264,77102,76394,76296,73095,72207,72635,70612,70927,69008,67088,66171,63010,57609,54509,51526,48180,46886,45407,45264,44393,42738,41959,41894,42833,45108,44660,46540,45524,46224,45737,44490,43655,46437,47181,48628,49431,49740,49767,51404,51028,50865,51769,52577,53121,54469,54405,55163,55470,54839,53237,52087,50476,49426,48614,46720,46593,46925,47357,47461,47348,47279,47290,47369,47477,47673,47858,48148,48411,48728,49025,49354,49642,49943,50183,50390,50557,50698,50757,50777,50771
22,53343,56487,55170,54575,54203,54988,56778,55426,58319,62950,62770,65484,59138,56804,54909,55183,51065,68773,65846,69705,63389,64460,57272,57690,57862,58730,58847,60814,61436,61633,64283,65650,68059,69296,72844,77708,77164,77137,74067,73243,74057,71395,71473,69621,67828,66877,63736,58372,55289,52435,48872,47051,46448,46392,44780,43123,43014,42957,43447,45945,48746,46969,46987,47720,46552,45214,46849,47068,47999,49445,50250,50562,50580,52210,51827,51656,52554,53355,53889,55224,55154,55902,56197,55558,53951,52797,51174,50120,49297,47397,47261,47583,48006,48099,47976,47906,47913,47990,48096,48289,48471,48759,49019,49333,49625,49950,50234,50531,50767,50970,51133,51271,51326,51343
23,53963,53670,57354,55679,55139,55096,55946,57703,56701,59466,63025,63883,66607,59688,57528,55592,55864,51967,69766,66819,71007,63786,64563,57885,58259,58438,59331,59427,61378,61973,62077,64525,65947,68297,69748,73215,78355,77933,78129,75125,74795,74858,71943,71925,70229,68545,67563,64582,59362,56216,53210,49180,48517,47968,46859,45194,44368,44245,43769,44522,53371,49275,48706,48753,48711,47262,48367,47455,48018,48946,50392,51199,51502,51510,53132,52739,52561,53450,54245,54765,56085,56008,56744,57024,56376,54764,53602,51966,50908,50070,48163,48017,48328,48738,48819,48695,48621,48626,48700,48803,48993,49172,49456,49712,50020,50307,50628,50906,51199,51431,51629,51789,51921,51972
24,54459,54277,54387,57855,56215,55827,55811,56947,58994,57924,59622,63707,64892,67581,60437,58183,56448,56734,52818,70820,67798,70979,64173,64699,58489,58828,58995,59952,60015,61928,62529,62274,64823,66138,68696,70139,73710,78992,78697,79101,76476,75518,75417,72404,72339,70943,69235,68376,65564,60333,57003,53598,50945,50444,48518,47324,46466,45674,45369,44939,57217,53995,51234,50726,50149,49706,48441,49054,48538,49096,50022,51468,52264,52559,52554,54167,53764,53576,54457,55244,55747,57051,56963,57685,57950,57291,55670,54502,52848,51785,50929,49013,48857,49155,49550,49628,49500,49423,49426,49497,49596,49782,49958,50236,50486,50788,51070,51384,51658,51945,52171,52365,52518,52646
25,53324,54770,55011,54794,58380,56906,56499,56782,58169,60242,57133,60197,64510,66001,68821,61120,58902,57228,57471,53743,71815,67992,70931,64569,64834,59117,59404,59557,60553,60596,62500,62642,62440,65068,66463,68954,70641,74176,79611,79431,80434,77016,75877,75690,72818,72949,71559,69934,69305,66570,61250,57623,55678,53440,51174,49083,48764,47899,46831,46795,61324,57976,56231,53529,52587,51230,49593,49250,50262,49735,50290,51213,52645,53431,53715,53696,55300,54885,54686,55558,56335,56820,58103,58004,58712,58960,58286,56657,55480,53806,52735,51859,49932,49764,50048,50438,50510,50381,50301,50300,50367,50462,50644,50814,51085,51328,51624,51899,52207,52475,52755,52976,53163,53311
26,53897,53496,55407,55416,55153,59186,57514,57267,57968,59491,60279,57928,60727,65331,66955,69892,61950,59596,57999,58338,54573,71931,68188,70907,64971,64960,59747,59973,60125,61172,61204,62562,62804,62763,65451,66839,69325,71038,74720,80309,80600,80887,77187,76122,76023,73432,73418,72302,70772,70256,67443,61945,59861,58590,54316,51794,50581,50356,49143,48466,67457,62160,60415,58909,55770,53785,50037,50599,50552,51574,51036,51587,52492,53911,54684,54957,54923,56517,56090,55878,56738,57504,57968,59230,59119,59811,60039,59351,57711,56525,54826,53748,52849,50909,50727,51006,51391,51459,51327,51243,51238,51301,51391,51568,51729,51993,52230,52517,52785,53087,53346,53622,53834,54015
27,53678,54102,54104,55748,55817,55849,59866,58395,58394,59338,59731,60836,58663,61343,66061,68055,70965,62645,60271,58760,59093,54592,72049,68378,70880,65382,65086,60361,60549,60692,61779,61306,62629,63001,63116,65775,67214,69802,71572,75229,81686,81026,81061,77301,76357,76594,74031,74067,73058,71618,71051,68214,64446,62965,59573,54982,53291,52127,51707,50752,71296,68374,64644,63279,61436,57128,52313,50919,51972,51928,52963,52413,52944,53832,55236,55996,56257,56205,57792,57349,57121,57969,58724,59164,60404,60282,60956,61164,60458,58807,57608,55883,54797,53873,51918,51734,52008,52387,52451,52316,52228,52218,52277,52361,52529,52682,52940,53167,53447,53708,54001,54254,54520,54727
28,54263,53855,54508,54288,55998,56296,56383,60707,59523,59501,59371,60029,61219,59531,61769,66892,69102,72112,63347,61044,59621,59061,54602,72181,68559,70859,65784,65235,60967,61129,61236,61806,61286,62590,63268,63423,66133,67712,70240,72031,76285,81957,81114,81179,77530,76904,77167,74637,74694,73838,72471,71985,70767,67516,64209,60392,56480,54586,53188,53389,72669,72328,71160,67697,65814,62811,51605,53189,52330,53397,53359,54408,53828,54339,55208,56597,57344,57592,57524,59100,58639,58395,59229,59971,60388,61607,61470,62127,62313,61591,59926,58714,56961,55865,54914,52955,52768,53038,53412,53470,53332,53240,53226,53278,53354,53514,53660,53907,54127,54399,54650,54937,55181,55440
29,51160,54542,54336,54680,54624,56633,56912,57122,61947,60615,59623,59571,60328,61630,60343,62367,67669,70234,73287,64022,61661,59575,59030,54629,72292,68761,70824,66196,65364,61580,61712,61123,61679,61395,62729,63460,63708,66509,68166,70653,73024,76568,81955,81110,81298,77910,77390,77723,75341,75347,74609,73537,74764,74034,68985,65021,61873,57886,55638,54718,74651,73767,75252,75148,70131,67089,52517,52375,54599,53749,54834,54800,55848,55239,55729,56579,57953,58687,58924,58835,60400,59920,59659,60479,61209,61603,62799,62648,63287,63452,62711,61031,59806,58023,56918,55952,53987,53799,54065,54433,54486,54345,54248,54228,54272,54339,54492,54628,54868,55079,55341,55585,55862,56099
30,53181,51419,54931,54648,54992,55006,57038,57527,58054,63058,60704,59923,59881,60689,62128,61092,62996,68519,71334,74393,64689,61632,59513,59009,54636,72396,68966,70794,66588,65500,62193,61539,60923,61672,61445,62811,63693,64085,66855,68684,71602,73257,76601,81911,81188,81690,78264,77786,78419,76012,76146,75822,76266,78136,75594,70073,66687,63399,58792,57117,76042,75731,76495,78903,76677,71444,54770,53285,53737,55980,55142,56245,56201,57249,56610,57079,57910,59269,59992,60214,60104,61659,61159,60879,61686,62406,62775,63948,63784,64407,64549,63789,62095,60857,59044,57940,56959,54990,54799,55061,55425,55473,55328,55225,55197,55234,55294,55436,55565,55797,55997,56253,56486,56756
